Jahr,Maenner_Genferseeregion,Maenner_Espace_Mitelland,Maenner_Nordwestschweiz,Maenner_Zuerich,Maenner_Ostschweiz,Maenner_Zentralschweiz,Maenner_Tessin,Frauen_Genferseeregion,Frauen_Espace_Mitelland,Frauen_Nordwestschweiz,Frauen_Zuerich,Frauen_Ostschweiz,Frauen_Zentralschweiz,Frauen_Tessin
2010,6.7,4.3,4.5,3.9,3.6,2.8,5.9,7.8,4.8,4.9,5.0,4.0,3.5,6.1
2011,6.4,3.4,4.4,4.1,2.8,2.5,5.6,7.8,4.3,4.1,4.0,4.5,2.6,6.6
2012,7.3,3.4,4.6,3.3,3.4,2.5,6.8,6.9,4.4,4.2,4.4,3.7,3.2,8.3
2013,7.2,3.9,4.4,4.6,3.5,2.4,7.3,7.5,4.3,4.3,4.1,4.4,3.4,8.4
2014,7.2,4.2,5.0,4.4,3.0,3.1,6.4,7.7,4.8,4.1,3.7,4.1,4.3,8.0
2015,7.5,4.5,4.3,4.0,3.5,3.1,6.4,7.5,4.3,4.3,4.1,4.4,3.7,7.5
2016,7.7,4.6,4.6,3.8,3.9,3.5,6.5,7.5,4.6,5.3,4.0,4.2,3.3,7.3
2017,7.5,3.6,4.4,4.7,4.0,2.1,5.3,8.2,4.9,4.4,4.2,3.5,3.9,6.8
2018,7.4,4.0,3.8,4.0,3.2,2.3,6.0,7.6,4.7,4.8,4.6,4.1,3.5,7.4
2019,7.3,3.9,2.9,3.3,3.2,2.5,6.1,7.6,3.7,4.1,4.7,3.8,2.9,7.7
2020,7.7,4.3,4.2,4.0,3.8,2.6,5.9,7.5,4.2,5.3,4.6,3.9,3.2,7.3
2021,7.4,4.5,4.4,4.7,3.4,3.0,7.0,7.8,4.3,5.2,4.6,4.5,3.5,8.9
2022,6.2,3.5,4.0,3.8,2.3,2.5,5.2,7.1,4.0,4.1,3.6,3.8,2.1,7.1
2023,6.6,3.1,3.9,3.3,2.9,2.1,5.5,6.7,3.9,3.9,3.4,3.2,3.2,7.6
2024,6.8,3.8,4.6,3.6,2.7,2.1,6.4,7.7,4.2,4.0,4.0,3.0,3.0,6.8