jahr;monat;festhypo_mittelwert;festhypo_median;festhypo_anzahl_abschluesse;variabelhypo_mittelwert;variabelhypo_median;variabelhypo_anzahl_abschluesse
2005;05;2.678596918;2.65;292;0.64048;0.403;25
2009;06;2.757961326;2.75;362;0.57493;0.395;37
2009;07;2.758290638;2.7;235;0.45716;0.38;19
2009;08;2.765606635;2.66;211;0.6698;0.35;20
2009;09;2.618851839;2.55;299;0.46189;0.397;45
2009;10;2.699486275;2.625;255;0.35943;0.288;21
2009;11;2.6628;2.65;273;1.1739;1.2535;26
2009;12;2.6788;2.6;415;1.2049;1.21;69
2010;01;2.6827;2.65;292;1.2076;1.1965;34
2010;02;2.6069;2.54;237;1.2029;1.23;37
2010;03;2.5464;2.5;351;1.0675;1.099;30
2010;04;2.5697;2.55;284;1.1604;1.143;37
2010;05;2.5275;2.45;271;1.1076;1.122;31
2010;06;2.3607;2.3;362;0.95788;1.0082;46
2010;07;2.2867;2.19;273;0.97525;1.005;40
2010;08;2.301;2.2;251;1.1571;1.065;33
2010;09;2.2216;2.1325;392;1.1263;1.056;33
2010;10;2.382;2.2;271;1.0626;1.07;26
2010;11;2.2432;2.15;334;1.0656;1.069;48
2010;12;2.3242;2.25;449;1.1025;1.0955;86
2011;01;2.4071;2.35;323;1.1418;1.164;42
2011;02;2.5447;2.5;302;1.213;1.17;43
2011;03;2.537;2.5;364;1.1342;1.08;62
2011;04;2.6474;2.6;356;1.1217;1.1725;50
2011;05;2.6114;2.6;257;1.1084;1.0725;44
2011;06;2.553;2.47;278;1.0459;1.075;65
2011;07;2.503;2.465;192;1.0888;0.975;47
2011;08;2.204;2.15;216;1.1969;1.108;36
2011;09;2.1159;2;307;0.93453;0.9025;62
2011;10;2.1132;1.98;251;1.0442;0.995;32
2011;11;1.9719;1.9;314;1.0344;1.05;38
2011;12;1.9345;1.8;555;1.0628;1.04;73
2012;01;1.8036;1.7;375;1.0962;1.067;51
2012;02;1.7638;1.65;322;1.0699;1.034;29
2012;03;1.7363;1.65;354;0.98894;0.95;50
2012;04;1.8082;1.73;249;1.0338;1.01;27
2012;05;1.7547;1.65;211;1.1309;1.0825;20
2012;06;1.6448;1.55;270;1.139;1.16;35
2012;07;1.7381;1.625;244;1.1676;1.0725;30
2012;08;1.6788;1.56;204;1.0437;1.0225;24
2012;09;1.6693;1.55;185;1.0556;1.046;22
2012;10;1.6228;1.5;223;0.95545;0.9995;22
2012;11;1.6422;1.5;239;1.0129;0.99;21
2012;12;1.6335;1.5;372;0.97633;0.962;27
2013;01;1.7001;1.6;304;1.0462;0.97;31
2013;02;1.7732;1.75;269;0.96315;0.97;26
2013;03;1.7401;1.65;283;0.97903;0.97;37
2013;04;1.7559;1.65;200;1.0094;1.01;35
2013;05;1.7573;1.65;176;0.94537;1.0007;20
2013;06;1.8306;1.75;219;0.99507;1.0395;38
2013;07;1.9355;1.9;166;0.99797;1.019;40
2013;08;2.0201;1.95;145;1.1104;1.06;27
2013;09;2.0175;1.95;186;0.98598;0.921;52
2013;10;1.9692;1.9;167;0.96388;0.96;44
2013;11;1.9537;1.89;168;0.94337;0.95;53
2013;12;1.9163;1.9;278;0.98159;0.96;135
2014;01;2.0023;1.9;223;1.054;1.023;78
2014;02;1.8811;1.8;218;1.0356;1.018;64
2014;03;1.8791;1.75;248;1.0392;1.022;68
2014;04;1.8105;1.75;184;1.0453;1.054;64
2014;05;1.7329;1.65;196;1.0033;1.018;53
2014;06;1.6888;1.6;220;1.0066;1.012;78
2014;07;1.7083;1.62;174;0.9956;0.96;73
2014;08;1.7455;1.61;117;0.98466;0.923;32
2014;09;1.5804;1.48;205;1.0336;1.012;78
2014;10;1.6272;1.5;153;1.0359;1.011;62
2014;11;1.5658;1.45;162;1.0011;1.009;43
2014;12;1.5244;1.4;314;0.99347;1;107
2015;01;1.4128;1.35;221;1.0173;1;35
2015;02;1.4323;1.3;215;0.99842;0.96;38
2015;03;1.4519;1.35;298;0.96108;0.95;51
2015;04;1.509;1.44;247;0.99428;1;47
2015;05;1.4847;1.4;229;0.87692;0.9;39
2015;06;1.468;1.35;306;0.96851;0.92;67
2015;07;1.475;1.45;221;0.94532;0.939;53
2015;08;1.5384;1.45;157;1.0145;0.95;32
2015;09;1.4858;1.4;252;0.96481;0.95;53
2015;10;1.4749;1.4;230;0.947;0.9;40
2015;11;1.4887;1.45;248;0.95327;0.95;49
2015;12;1.4552;1.35;376;0.94376;0.9;125
2016;01;1.4389;1.35;258;0.96759;0.9;54
2016;02;1.4558;1.37;231;0.94863;0.9;51
2016;03;1.3989;1.3;279;0.95847;0.9;59
2016;04;1.3998;1.3;236;0.99735;0.9;51
2016;05;1.4477;1.35;151;0.9351;0.9;49
2016;06;1.3321;1.24;217;0.95664;0.9;67
2016;07;1.3621;1.29;179;0.95854;0.9;41
2016;08;1.3252;1.18;150;0.95163;0.9;49
2016;09;1.2482;1.15;215;0.89133;0.9;75
2016;10;1.3709;1.25;158;0.99294;0.9;34
2016;11;1.291;1.17;223;0.93;0.9;48
2016;12;1.3205;1.2;345;0.9066;0.9;75
2017;01;1.3205;1.23;230;0.94323;0.9;62
2017;02;1.367;1.3;187;0.90294;0.9;34
2017;03;1.3234;1.2;252;0.88389;0.9;90
2017;04;1.3342;1.23;172;0.94293;0.9;29
2017;05;1.3443;1.25;202;0.9734;0.9;53
2017;06;1.2373;1.11;257;0.98402;0.9;64
2017;07;1.3818;1.295;172;0.88333;0.9;45
2017;08;1.3982;1.3;150;0.95319;0.9;36
2017;09;1.2882;1.2;181;0.93054;0.9;37
2017;10;1.3217;1.25;164;1.0895;0.9;20
2017;11;1.3255;1.2825;176;0.81433;0.81;30
2017;12;1.3163;1.225;318;0.9325;0.9;44
2018;01;1.3714;1.26;197;0.96048;0.9;31
2018;02;1.395;1.365;168;0.89646;0.9;24
2018;03;1.377;1.3;240;0.85396;0.8625;24
2018;04;1.3477;1.3;178;0.91909;0.9;22
2018;05;1.3839;1.3;140;0.89724;0.9;29
2018;06;1.3408;1.25;180;0.90229;0.85;35
2018;07;1.4398;1.29;148;0.87653;0.9;36
2018;08;1.3097;1.22;165;0.85857;0.85;42
2018;09;1.3263;1.285;164;0.93274;0.9;42
2018;10;1.346;1.3;191;0.89417;0.9;63
2018;11;1.3573;1.27;189;0.94097;0.9;58
2018;12;1.255;1.18;413;0.92534;0.9;139
2019;01;1.2196;1.1;404;0.92384;0.9;99
2019;02;1.1661;1.1;310;0.92389;0.9;64
2019;03;1.1481;1.1;390;0.92855;0.9;62
2019;04;1.1121;1.05;384;0.90603;0.9;113
2019;05;1.1075;1.05;325;0.88906;0.9;70
2019;06;1.1105;1.03;281;0.84726;0.85;53
2019;07;1.0775;1;289;0.88064;0.9;97
2019;08;1.0807;1;187;0.85;0.8;26
2019;09;1.0732;1;236;0.85734;0.8;94
2019;10;1.108;1;247;0.84761;0.8;71
2019;11;1.0629;1;233;0.87133;0.86;60
2019;12;1.0825;1.04;418;0.86184;0.825;114
2020;01;1.0769;1.04;369;0.86446;0.85;92
2020;02;1.074;1;236;0.84412;0.85;34
2020;03;1.0496;1;305;0.88795;0.85;73
2020;04;1.064;1;287;0.8609;0.87275;68
2020;05;1.1079;1.03;150;0.91872;0.9;57
2020;06;1.0575;1;311;0.89302;0.855;160
2020;07;1.0657;1.02;225;0.92178;0.9;107
2020;08;1.0498;1;169;0.88781;0.9;80
2020;09;1.0354;1;289;0.84526;0.85;171
2020;10;1.0378;1;213;0.86116;0.85;93
2020;11;1.0485;1;198;0.86601;0.85;94
2020;12;0.99972;0.95;364;0.84272;0.85;173
2021;01;1.0397;1;293;0.8538;0.85;140
2021;02;1.011;0.975;230;0.825;0.85;96
2021;03;1.025;0.97;354;0.83711;0.8;221
2021;04;1.0031;0.97;303;0.80557;0.8;150
2021;05;1.0021;0.9625;134;0.82556;0.8;90
2021;06;0.98298;0.96;240;0.81216;0.8;88
2021;07;0.9998;0.9;160;0.7958;0.8;56
2021;08;1.0291;0.95;141;0.85077;0.8;39
2021;09;0.97694;0.96;202;0.81456;0.8;91
2021;10;1.1211;1;129;0.90317;0.9;41
2021;11;1.0475;1;174;0.79561;0.8;82
2021;12;0.99614;0.98;337;0.82175;0.8;136
2022;01;1.094;1.05;169;0.84866;0.8;67
2022;02;1.1552;1.1;161;0.87638;0.8;69
2022;03;1.228;1.2;186;0.81389;0.8;80
2022;04;1.4269;1.45;108;0.83069;0.8;81
2022;05;1.585;1.6;114;0.85611;0.85;95
2022;06;1.8548;1.85;113;0.84608;0.85;171
2022;07;1.8268;1.82;105;0.88782;0.9;91
2022;08;1.8106;1.95;55;0.87941;0.9;85
2022;09;2.0747;2.115;82;1.1512;1.1865;169
2022;10;2.1095;2.415;62;1.3543;1.298;126
2022;11;2.1068;2.35;81;1.2836;1.3029;133
2022;12;2.1622;2.29;165;1.7491;1.7421;249
2023;01;2.2135;2.38;123;1.8011;1.7902;128
2023;02;2.3831;2.52;84;1.7559;1.7448;88
2023;03;2.602;2.665;184;2.137;2.1386;213
2023;04;2.5761;2.69;122;2.2458;2.2197;86
2023;05;2.6604;2.7;117;2.2554;2.2419;80
2023;06;2.6182;2.7;167;2.4424;2.4565;149
2023;07;2.6149;2.74;150;2.5021;2.4924;82
2023;08;2.6811;2.75;115;2.4955;2.5051;65
2023;09;2.5702;2.675;178;2.4918;2.4649;69
2023;10;2.5279;2.6;156;2.498;2.5008;77
2023;11;2.3098;2.3;216;2.5137;2.5015;55
2023;12;2.1577;2.1275;500;2.4719;2.4943;76
2024;01;2.1253;2.145;286;2.4631;2.3982;55
2024;02;2.132;2.1;226;2.4574;2.519;36
2024;03;2.0954;2.13;197;2.3156;2.2642;58
2024;04;2.0791;2.1;144;2.1976;2.1945;63
2024;05;2.175;2.2;94;2.2193;2.2006;83
2024;06;2.0537;2.06;123;2.0443;2.0158;76
2024;07;1.9848;1.99;163;1.9909;1.961;90
2024;08;1.811;1.78;187;2.0184;1.9672;58
2024;09;1.7703;1.71;167;1.7534;1.7278;78
2024;10;1.6917;1.682;214;1.7348;1.6989;107
2024;11;1.5575;1.5;180;1.7022;1.6995;85
2024;12;1.4617;1.4;347;1.2707;1.2512;218